submission,criteo1tb,fastmri,finewebedu_lm,imagenet_resnet,imagenet_vit,librispeech_conformer,librispeech_deepspeech,ogbg,wmt
AdEMAMix (PyTorch),3210.4460656642914,1093.675038814545,18025.89689064026,inf,inf,48894.85426735878,30400.241758823395,5891.7984273433685,15472.984793901443
Cautious NAdamW (JAX),inf,1058.2792873382568,25738.981688261032,inf,inf,inf,inf,4542.640103340149,12300.529671430588
Lion (PyTorch),4630.977348804474,1068.286497592926,20608.53852891922,inf,inf,inf,inf,6772.937709569931,14191.460042238235
Muon (JAX),10365.37938952446,1319.8607549667358,20594.037749767303,inf,72022.60874962807,inf,inf,inf,inf
Muon (PyTorch),3239.148842573166,1188.9445600509644,15471.922557115557,inf,inf,inf,inf,1833.473667144776,10349.304359197617
NAdamW (JAX),3216.274062395096,1140.9231734275818,25733.847669363025,inf,69445.24471068382,inf,inf,inf,inf
NAdamW (Baseline AlgoPerf v0.5) (JAX),2863.897424697876,1175.4078862667084,20589.321794748303,inf,inf,inf,inf,3634.618623733521,11645.799484968184
NAdamW (Tuned for ResNet) (JAX),7150.244158029556,1150.6265110969543,23162.07039999962,inf,inf,inf,inf,5896.352125167847,14224.259515285492
Schedule-Free AdamW (PyTorch),2145.928728580475,866.9446563720703,inf,inf,inf,inf,39019.65780520439,3624.553771257401,9684.711911439896
Schedule-Free AdamW (JAX),3222.357746124268,1824.5686995983124,12875.283079862596,inf,66901.03146481514,inf,inf,4994.9825966358185,9074.26617383957
Schedule-Free AdamW v2 (JAX),2146.8070859909058,1190.480677843094,15451.99134683609,inf,66895.15416312218,inf,inf,4543.061010599136,11005.5692486763
Schedule-Free AdamW v2 (PyTorch),2142.8173594474792,802.9277532100677,inf,inf,inf,52358.23204731941,39023.37936592102,5879.733811378479,5829.617845058441
Single Worker DiLoCo (JAX),4671.270045757294,1663.7264096736908,28314.819189310077,inf,inf,inf,inf,inf,inf
Single Worker DiLoCo v2 (JAX),8462.000496387482,2022.091157913208,28313.97388148308,inf,inf,inf,inf,inf,inf
