global_step,grad_norm,loss,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,2.1365857,0.7726348,,,,,,,,,,,,,,,,,
1,,,0.4823930859565735,0.7742568254470825,0.0226626437263945,0.4782155752182007,0.7708846926689148,0.026394293036276,43793.0,0.4787319600582123,0.7687624096870422,0.0276530685256734,43793.0,15.498920679092407,219.5975966453552,15.498920679092407,204.0985696315765,0.0,0.0
100,0.21322693,0.20085436,,,,,,,,,,,,,,,,,
200,0.047159374,0.07898512,,,,,,,,,,,,,,,,,
300,0.016069243,0.060670357,,,,,,,,,,,,,,,,,
400,0.02104995,0.057159454,,,,,,,,,,,,,,,,,
500,0.041864276,0.048589904,,,,,,,,,,,,,,,,,
600,0.049924932,0.056767654,,,,,,,,,,,,,,,,,
700,0.038161542,0.05299312,,,,,,,,,,,,,,,,,
800,0.022461971,0.04757175,,,,,,,,,,,,,,,,,
900,0.01539582,0.05220533,,,,,,,,,,,,,,,,,
1000,0.035697132,0.04969387,,,,,,,,,,,,,,,,,
1100,0.020074034,0.0452884,,,,,,,,,,,,,,,,,
1147,,,0.9871066808700562,0.0477258116006851,0.0886581654715948,0.9844759702682496,0.0572843328118324,0.0877811213596502,43793.0,0.9834529161453248,0.060677733272314,0.0864340354510152,43793.0,255.5209014415741,535.432097196579,255.5209014415741,279.86393094062805,0.0182681083679199,0.0
1200,0.021721171,0.047998097,,,,,,,,,,,,,,,,,
1300,0.013276844,0.04469655,,,,,,,,,,,,,,,,,
1400,0.01809155,0.04630486,,,,,,,,,,,,,,,,,
1500,0.03855542,0.04464764,,,,,,,,,,,,,,,,,
1600,0.028875198,0.051575013,,,,,,,,,,,,,,,,,
1700,0.01820707,0.045727555,,,,,,,,,,,,,,,,,
1800,0.013715595,0.043964434,,,,,,,,,,,,,,,,,
1900,0.009668241,0.040514644,,,,,,,,,,,,,,,,,
2000,0.025972167,0.0460605,,,,,,,,,,,,,,,,,
2100,0.016749442,0.050128937,,,,,,,,,,,,,,,,,
2200,0.019106276,0.050305557,,,,,,,,,,,,,,,,,
2289,,,0.9878824949264526,0.0431007891893386,0.1392102531106927,0.9849789142608644,0.0525412894785404,0.1349126699216849,43793.0,0.984043836593628,0.0555995590984821,0.1347775621524306,43793.0,495.6405735015869,852.009829044342,495.6405735015869,356.27398443222046,0.0369412899017334,0.0
2300,0.015832799,0.050351538,,,,,,,,,,,,,,,,,
2400,0.017731063,0.04057815,,,,,,,,,,,,,,,,,
2500,0.030318288,0.043372773,,,,,,,,,,,,,,,,,
2600,0.01602546,0.04447007,,,,,,,,,,,,,,,,,
2700,0.015674563,0.044373777,,,,,,,,,,,,,,,,,
2800,0.014897942,0.040889557,,,,,,,,,,,,,,,,,
2900,0.015441721,0.036569912,,,,,,,,,,,,,,,,,
3000,0.011848963,0.040166654,,,,,,,,,,,,,,,,,
3100,0.017909124,0.04327133,,,,,,,,,,,,,,,,,
3200,0.013584122,0.03743113,,,,,,,,,,,,,,,,,
3300,0.019324886,0.04468473,,,,,,,,,,,,,,,,,
3400,0.009010988,0.03865326,,,,,,,,,,,,,,,,,
3453,,,0.9883587956428528,0.0405973047018051,0.1947028064364857,0.9854685068130492,0.050178900361061,0.1675313546680088,43793.0,0.9845846891403198,0.0531773678958416,0.1673708622509024,43793.0,735.594518661499,1167.8479692935944,735.594518661499,432.1091272830963,0.0549769401550293,0.0
3500,0.010062969,0.044802766,,,,,,,,,,,,,,,,,
3600,0.014665575,0.038380746,,,,,,,,,,,,,,,,,
3700,0.015238557,0.045046415,,,,,,,,,,,,,,,,,
3800,0.014391648,0.040109128,,,,,,,,,,,,,,,,,
3900,0.01957514,0.042198807,,,,,,,,,,,,,,,,,
4000,0.0116928015,0.04154873,,,,,,,,,,,,,,,,,
4100,0.012751828,0.039234888,,,,,,,,,,,,,,,,,
4200,0.015763365,0.04198879,,,,,,,,,,,,,,,,,
4300,0.011461922,0.038060226,,,,,,,,,,,,,,,,,
4400,0.011989481,0.043264505,,,,,,,,,,,,,,,,,
4500,0.012951692,0.03900388,,,,,,,,,,,,,,,,,
4600,0.012066372,0.037322056,,,,,,,,,,,,,,,,,
4604,,,0.988811194896698,0.0386018343269825,0.2196047607449442,0.985739290714264,0.0485019087791442,0.1908451446965292,43793.0,0.984883725643158,0.0511932633817195,0.1973619516536731,43793.0,975.5567357540132,1482.9395978450775,975.5567357540132,507.18579053878784,0.0766782760620117,0.0
4700,0.017560719,0.038508367,,,,,,,,,,,,,,,,,
4800,0.011530224,0.03706555,,,,,,,,,,,,,,,,,
4900,0.012967896,0.036489848,,,,,,,,,,,,,,,,,
5000,0.011636527,0.035050754,,,,,,,,,,,,,,,,,
5100,0.017007971,0.040633682,,,,,,,,,,,,,,,,,
5200,0.01211992,0.03404199,,,,,,,,,,,,,,,,,
5300,0.013703502,0.039946917,,,,,,,,,,,,,,,,,
5400,0.02006252,0.042299356,,,,,,,,,,,,,,,,,
5500,0.012458656,0.039753675,,,,,,,,,,,,,,,,,
5600,0.012550166,0.039122492,,,,,,,,,,,,,,,,,
5700,0.02245148,0.03818691,,,,,,,,,,,,,,,,,
5773,,,0.989326000213623,0.0361444801092147,0.2772991432464385,0.9861488342285156,0.0466616488993167,0.2122298040713452,43793.0,0.9853798747062684,0.0491952560842037,0.2150066512935459,43793.0,1215.5502200126648,1798.381689786911,1215.5502200126648,582.5862905979156,0.0957989692687988,0.0
5800,0.017252559,0.037814606,,,,,,,,,,,,,,,,,
5900,0.010808307,0.03449891,,,,,,,,,,,,,,,,,
6000,0.014740472,0.03964229,,,,,,,,,,,,,,,,,
6100,0.01414227,0.035162605,,,,,,,,,,,,,,,,,
6200,0.015527115,0.036518868,,,,,,,,,,,,,,,,,
6300,0.016031034,0.037468188,,,,,,,,,,,,,,,,,
6400,0.013475465,0.03665795,,,,,,,,,,,,,,,,,
6500,0.014199493,0.034357723,,,,,,,,,,,,,,,,,
6600,0.02275907,0.033308305,,,,,,,,,,,,,,,,,
6700,0.0142986905,0.03858505,,,,,,,,,,,,,,,,,
6800,0.016112246,0.037720397,,,,,,,,,,,,,,,,,
6900,0.014180228,0.03716566,,,,,,,,,,,,,,,,,
6936,,,0.9893827438354492,0.0357541553676128,0.2822919375701604,0.986353874206543,0.0459062829613685,0.2277889082123137,43793.0,0.9855024218559264,0.0487006194889545,0.2303397705441563,43793.0,1455.6363513469696,2114.479799032212,1455.6363513469696,658.5500316619873,0.1139194965362548,0.0
7000,0.014623542,0.03545933,,,,,,,,,,,,,,,,,
7100,0.0197911,0.033250295,,,,,,,,,,,,,,,,,
7200,0.0138436705,0.034011204,,,,,,,,,,,,,,,,,
7300,0.016872965,0.033966098,,,,,,,,,,,,,,,,,
7400,0.013390287,0.036557186,,,,,,,,,,,,,,,,,
7500,0.023161689,0.038197372,,,,,,,,,,,,,,,,,
7600,0.015662037,0.037617594,,,,,,,,,,,,,,,,,
7700,0.023868117,0.039638624,,,,,,,,,,,,,,,,,
7800,0.017152298,0.03576971,,,,,,,,,,,,,,,,,
7900,0.014971786,0.03317813,,,,,,,,,,,,,,,,,
8000,0.014940845,0.03505914,,,,,,,,,,,,,,,,,
8077,,,0.989782691001892,0.034086674451828,0.3168013288495426,0.9863818883895874,0.0456180199980735,0.2327272377793786,43793.0,0.9855462312698364,0.048215664923191,0.2414591812124231,43793.0,1695.6167976856232,2428.372677564621,1695.6167976856232,732.4149825572968,0.1328644752502441,0.0
8100,0.01726873,0.037754323,,,,,,,,,,,,,,,,,
8200,0.01861863,0.036633167,,,,,,,,,,,,,,,,,
8300,0.020812621,0.035662122,,,,,,,,,,,,,,,,,
8400,0.016700044,0.03258648,,,,,,,,,,,,,,,,,
8500,0.018677924,0.034012634,,,,,,,,,,,,,,,,,
8600,0.022445275,0.036901392,,,,,,,,,,,,,,,,,
8700,0.017554766,0.0385727,,,,,,,,,,,,,,,,,
8800,0.024334904,0.035534192,,,,,,,,,,,,,,,,,
8900,0.013855133,0.03367218,,,,,,,,,,,,,,,,,
9000,0.017014738,0.03481328,,,,,,,,,,,,,,,,,
9100,0.02107648,0.03049114,,,,,,,,,,,,,,,,,
9200,0.019917488,0.032699544,,,,,,,,,,,,,,,,,
